name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
Justin Levens,The Executioner,10,7,0,180.34,83.91,,Orthodox,1980-04-18,1.24,47,3.15,37,1.69,50,33,5.1
Mike Ciesnolevicz,,19,4,0,182.88,106.59,,Orthodox,1979-10-28,0.51,50,4.62,57,0,0,20,5.1
Magno Almeida,,10,3,0,182.88,70.31,,,,1.67,36,2.6,41,0,0,40,5
George Pacurariu,Constantine,10,5,0,170.18,61.23,,,,4.69,53,2.68,63,5.03,100,100,5
Ronaldo Candido,Pacman,6,0,0,167.64,56.7,,Southpaw,1989-04-24,1.67,42,3.87,52,8,53,0,5
Alex Schoenauer,,15,10,0,190.5,83.91,,Orthodox,1976-05-05,1.22,40,2.27,42,0,0,22,4.9
Justin Guthrie,,18,9,0,185.42,77.11,,,,0.16,33,3.74,14,2.44,25,0,4.9
Billy Pasulatan,,10,3,0,165.1,56.7,167.64,Switch,1991-08-07,0.65,20,5.22,48,0,0,0,4.9
Aaron Ely,The Cyborg,5,2,0,172.72,61.23,,,,0.82,15,0.66,69,2.47,100,50,4.9
Shohei Nose,,10,4,2,167.64,61.23,172.72,Switch,1997-10-19,2.48,40,3.61,53,3.23,17,0,4.8
TJ Waldburger,,16,9,0,180.34,77.11,190.5,Orthodox,1988-04-25,2.02,51,2.39,40,3.03,46,40,4.8
Ronda Rousey,Rowdy,12,2,0,170.18,61.23,167.64,Orthodox,1987-02-01,4.17,52,4.14,44,6.26,68,50,4.8
Nik Theotikos,,6,2,0,,83.91,,Orthodox,,0,0,5.48,19,0,0,0,4.8
Valentijn Overeem,,30,32,0,190.5,104.33,,Orthodox,1976-08-17,0.93,34,1.49,58,1.86,50,0,4.7
Keith Rockel,Rock,12,4,1,182.88,83.91,,Orthodox,,1.13,73,0.21,66,4.63,75,100,4.6
Mark Hughes,,6,2,0,175.26,92.99,,Southpaw,1973-10-13,0.9,47,0.4,42,3,50,0,4.5
Jimmy Flick,The Brick,16,7,0,170.18,56.7,172.72,Orthodox,1990-09-07,1.99,50,5.05,38,1.66,27,0,4.4
Kaline Medeiros,The Dark Angel,8,5,0,160.02,52.16,,,,2.06,70,0.29,83,4.41,100,0,4.4
Takeru Uchida,,6,1,0,165.1,56.7,172.72,Southpaw,2002-09-30,0,0,0,0,0,0,0,4.4
Joe Pearson,The Triangular Strangler,45,30,1,177.8,65.77,,Orthodox,1978-03-28,0.59,18,3.51,33,0,0,0,4.4
Jordan Bailey,,6,3,0,175.26,65.77,,,,1.74,40,0.29,0,4.35,100,0,4.3
Branden Lee Hinkle,The Iron Lion,17,11,0,190.5,106.59,,Orthodox,1973-07-29,2.61,69,3.91,26,4.34,57,66,4.3
Goiti Yamauchi,,21,3,0,177.8,65.77,,,,1.66,54,1.01,66,0,0,0,4.3
Masakatsu Okuda,,8,5,0,,,,,,0,0,4.27,34,0,0,0,4.3
Wayne Cole,,16,25,0,185.42,92.99,,Orthodox,,0.57,20,8.33,27,4.31,25,0,4.3
Jason Glaza,,3,2,0,182.88,104.33,,,,4.34,54,0.43,40,4.34,100,0,4.3
Bret Bergmark,The Angry Hick,6,1,1,175.26,77.11,,,,2.78,52,2.78,37,4.17,100,50,4.2
Genki Sudo,Neo-Samurai,15,4,2,175.26,70.31,,Orthodox,1978-03-08,1.55,39,2.23,33,3.58,60,50,4.2
Yasuhito Namekawa,,25,16,4,175.26,92.99,,Orthodox,1974-10-27,0.14,50,3.65,38,2.11,25,0,4.2
Sean McCorkle,,17,7,0,200.66,120.2,205.74,Orthodox,1976-07-17,0.85,44,2.48,52,2.12,40,33,4.2
Jeremy Lang,,21,2,0,180.34,92.99,,Southpaw,1975-05-11,1.13,50,1.41,42,4.22,60,0,4.2
Rene Kronvold,,5,1,0,172.72,77.11,,Orthodox,,0.82,100,2.47,60,0,0,66,4.1
Victor Hugo,Striker,24,4,0,170.18,61.23,180.34,Orthodox,1992-11-22,1.24,34,1.1,65,2.06,50,66,4.1
Kain Royer,,2,2,0,,83.91,,,,0,0,1.63,14,0,0,0,4.1
Rousimar Palhares,Toquinho,19,8,0,172.72,77.11,180.34,Orthodox,1980-02-26,1.75,51,2.04,59,3.93,45,0,4.1
Clay Mitchell,,1,2,0,187.96,83.91,,,,1.63,85,0,0,0,0,100,4.1
Karine Silva,Killer,17,4,0,165.1,56.7,170.18,Orthodox,1993-12-02,3.37,35,3.37,50,2.45,60,0,4.1
Dustin Hazelett,McLovin,12,7,0,185.42,77.11,193.04,Orthodox,1986-04-29,2.24,40,3.51,46,0.55,50,25,4.1
HanSeul Kim,Spade,13,5,0,185.42,77.11,187.96,Southpaw,1990-06-19,6.93,45,8.09,50,0,0,0,4
Shinya Aoki,Tobikan Judan,39,7,0,180.34,69.85,,Southpaw,1983-05-09,0.97,58,1.25,58,2.54,41,60,4
Marcus Hicks,The Wrecking Ball,10,4,0,167.64,70.31,162.56,Southpaw,1975-11-25,1.42,43,3.06,61,2.7,53,25,4
Dan Evensen,The Viking,11,4,0,190.5,113.4,,Orthodox,1974-06-01,0.27,10,3.86,38,0,0,0,4
Ralph Gracie,,6,1,0,175.26,83.01,,Orthodox,,0.86,37,1.72,31,0,0,25,4
Charlie Kohler,,8,4,1,175.26,70.31,,Orthodox,1976-07-16,0.81,33,4.31,46,0,0,0,4
Alberto Crane,,15,5,0,165.1,70.31,,Orthodox,1976-07-14,0.43,25,2.61,57,0,0,50,4
Mike Hayes,,20,12,2,193.04,104.33,,Orthodox,,4.87,55,1.47,77,0,0,75,4
Bruno Carvalho,,10,5,0,172.72,69.85,,,,0.6,45,0.93,53,0,0,66,4
Steve Byrnes,The Sergeant,6,1,0,182.88,77.11,,Orthodox,,1.2,51,2.67,27,3,60,0,4
Aliaskhab Khizriev,Black Wolf,14,0,0,175.26,83.91,187.96,Southpaw,1990-08-24,6.03,64,4.36,62,5.77,60,100,3.9
Torrez Finney,The Punisher,7,0,0,172.72,83.91,190.5,Orthodox,1998-10-24,0.91,58,2.33,47,13.61,63,0,3.9
Bill Mahood,The Butcher,20,7,1,190.5,90.72,,Orthodox,1967-02-01,1.54,85,3.59,17,0,0,0,3.9
Marius Enache,,3,3,0,180.34,70.31,,,,1.71,34,0.66,84,3.94,100,0,3.9
Abongo Humphrey,,7,3,0,180.34,92.99,,Orthodox,,1.45,40,3.83,46,1.41,37,33,3.8
Antonio Trocoli,Malvado,12,3,0,195.58,92.99,208.28,Orthodox,1990-12-06,1.27,71,4.56,25,3.8,100,100,3.8
Hector Urbina,El Toro,17,10,1,180.34,77.11,185.42,Orthodox,1987-09-17,0.97,38,2.44,39,0,0,38,3.8
Gabriel Bonfim,Marretinha,15,1,0,185.42,77.11,182.88,Orthodox,1997-08-20,4.87,40,5.25,59,4.75,71,100,3.8
James Wilks,Lightning,7,4,0,185.42,77.11,190.5,Orthodox,1978-05-04,1.82,45,2.03,50,1.27,22,66,3.8
Assu Almabayev,Zulfikar,18,2,0,162.56,56.7,165.1,Orthodox,1994-01-25,3.18,65,0.49,77,3.67,40,0,3.7
Nyamjargal Tumendemberel,Art of Knockout,8,0,0,170.18,56.7,180.34,Orthodox,1998-03-22,4.43,44,3.62,45,4.68,38,14,3.7
Jaqueline Amorim,,7,1,0,160.02,52.16,172.72,Orthodox,1995-06-24,3.42,52,1.81,62,1.57,23,0,3.7
HyunSung Park,Peace of Mind,8,0,0,170.18,56.7,167.64,Orthodox,1995-11-04,3.51,48,2.62,59,2.23,30,100,3.7
Igor Gracie,,5,4,0,180.34,77.11,,,,1.86,60,0.99,50,3.72,50,0,3.7
Brady Fink,,2,3,0,182.88,83.01,,Orthodox,,1.69,41,1.69,61,3.63,25,0,3.6
Tatsuya Mizuno,,16,12,1,185.42,92.99,,Southpaw,1981-06-02,2.25,37,3.52,53,1.19,25,40,3.6
Per Eklund,,14,5,1,177.8,70.31,182.88,Orthodox,,2.07,61,2.38,67,2.07,11,50,3.6
Daisuke Nakamura,,28,19,1,170.18,69.85,,Orthodox,1980-06-10,0.94,30,1.38,61,0.46,40,30,3.6
Brennan Ward,The Irish Bad Boy,14,5,0,177.8,77.11,180.34,,,7.2,60,2.76,52,0,0,100,3.6
Ken Kaneko,,0,3,0,182.88,73.03,,Orthodox,,0,0,0.94,42,0,0,0,3.5
Rolando Delgado,Roli,11,6,1,190.5,70.31,195.58,Orthodox,1981-11-22,1.56,40,1.83,62,1.17,22,0,3.5
Mike King,,5,1,0,190.5,83.91,,,,4.44,58,1.29,72,1.75,25,40,3.5
Kit Cope,Havoc,6,7,0,182.88,77.11,,Orthodox,1977-03-17,1.18,52,2.12,35,0,0,50,3.5
Chris Sanford,,5,1,0,180.34,83.91,,Orthodox,1968-03-12,0.23,50,3.22,17,0,0,0,3.5
Junie Browning,,5,6,0,175.26,70.31,,Orthodox,1984-05-12,3.76,48,1.76,66,3.53,66,0,3.5
Preston Parsons,Pressure,10,4,0,180.34,77.11,180.34,Orthodox,1995-07-15,4.14,56,3.76,49,3.11,33,100,3.5
Mike Budnik,,13,4,0,175.26,65.77,172.72,Orthodox,1974-08-08,0.65,52,0.95,53,0,0,0,3.4
Zhang Tiequan,The Wolf,15,4,0,172.72,70.31,175.26,Orthodox,1978-07-25,1.23,36,2.14,51,1.95,58,75,3.4
Shannon Gugerty,,15,7,0,177.8,70.31,180.34,Orthodox,1981-12-30,1.25,39,1.88,58,2.13,27,50,3.4
Allen Berube,Monstah Lobstah,4,3,0,172.72,70.31,,Orthodox,1974-08-25,0.92,80,0.92,33,6.87,100,0,3.4
Tim Credeur,,12,4,0,190.5,83.91,190.5,Orthodox,1977-07-09,3.59,30,3.13,57,0.41,100,50,3.3
Daisuke Sugie,Amazon,10,8,1,167.64,72.57,,Orthodox,,0,0,0.22,80,3.27,50,0,3.3
Herbert Burns,The Blaze,11,4,0,175.26,65.77,185.42,Orthodox,1988-02-02,1.61,51,4.74,30,3.92,75,60,3.3
Edwin DeWees,Babyface,38,17,0,185.42,83.91,,Orthodox,1982-08-07,1.53,33,6.19,39,2.18,66,0,3.3
Ricardo Romero,,11,3,0,182.88,92.99,193.04,Orthodox,1978-04-15,2.17,55,4.77,46,1.63,10,100,3.3
Rob Broughton,The Bear,16,7,1,187.96,120.2,187.96,Orthodox,1983-03-03,2.83,60,2.54,51,0,0,26,3.2
Ryuichi Murata,,8,3,1,172.72,83.01,,Orthodox,,0.84,36,1.89,50,4.74,50,100,3.2
Roman Zentsov,The Russian Hammer,18,12,0,185.42,104.33,,Orthodox,1973-09-10,1.18,36,0.53,70,1.6,100,33,3.2
Dmitry Sosnovskiy,Wicked Machine,11,0,0,190.5,108.86,195.58,Orthodox,1989-07-06,2.95,70,2.53,35,3.16,66,100,3.2
Jesse Taylor,JT Money,31,15,0,182.88,77.11,185.42,Orthodox,1983-01-02,1.94,65,0.55,38,7.28,50,100,3.1
Alexandre Dantas,Cafe,0,3,0,187.96,107.95,,Orthodox,1979-03-01,0.21,25,1.87,60,0,0,0,3.1
Kevin Jousset,Air,9,2,0,187.96,77.11,190.5,Orthodox,1993-05-02,6.02,50,8.1,33,3.11,100,0,3.1
Manny Bermudez,The Bermudez Triangle,14,2,0,177.8,65.77,180.34,Orthodox,1994-07-16,2.92,61,2.68,46,3.06,54,0,3.1
Eric Lawson,,9,5,0,182.88,83.91,,Orthodox,,1.58,57,1.97,44,8.88,42,0,3
Sidney Outlaw,,8,4,0,172.72,77.11,187.96,Orthodox,1992-04-11,0.13,33,0.8,71,3,75,0,3
Maiquel Falcao,Big Rig,37,10,0,180.34,83.91,,Orthodox,1981-03-08,1.67,55,0.53,86,1,100,71,3
Samandar Murodov,,8,0,0,185.42,77.11,190.5,Orthodox,1999-08-28,3.41,80,0.8,0,3.01,100,0,3
Katsuaki Furuki,,1,1,0,182.88,76.2,,,,0.27,10,2.67,39,0,0,0,3
Matt Secor,,8,4,0,182.88,77.11,,,,0.51,20,0.81,50,3.03,100,0,3
Danny Mitchell,The Cheesecake Assassin,19,9,1,187.96,77.11,,Orthodox,1986-08-08,2.53,49,2.53,52,0,0,100,3
Adam Piccolotti,,9,0,0,180.34,70.31,,,,4.61,50,2.83,71,2.96,60,100,3
Scott Shaffer,,0,1,0,170.18,65.77,,Orthodox,,2.4,67,0.53,50,0,0,72,3
Raymond Daniels,,0,1,0,187.96,83.91,,Southpaw,,0,0,2.61,38,0,0,33,3
Fabiano Iha,,9,5,0,172.72,70.31,,Orthodox,1970-07-28,1.73,47,2.49,42,2.88,40,50,2.9
Jan Nortje,The Giant,2,6,0,185.42,140.61,,Southpaw,1975-04-11,3.32,51,4.5,32,0,0,66,2.9
Will Ribeiro,,10,2,0,172.72,61.23,,Orthodox,1983-02-17,1.83,28,1.64,74,1.15,100,50,2.9
Anthony Hernandez,Fluffy,11,2,0,182.88,83.91,190.5,Orthodox,1993-10-18,4.33,62,3.36,46,6.79,57,63,2.9
Marcus Jones,The Darkness,4,2,0,198.12,120.2,,Orthodox,1973-08-15,1.94,52,2.71,58,8.71,75,0,2.9
Tatsuro Taira,,14,0,0,170.18,56.7,177.8,Orthodox,2000-01-27,3.23,69,1.26,47,2.41,41,60,2.8
Jason High,The Kansas City Bandit,21,6,0,172.72,70.31,185.42,Southpaw,1981-10-12,1.28,42,1.56,48,2.36,63,37,2.8
Mike Nickels,,9,5,0,193.04,92.99,,Orthodox,1971-12-13,4.44,52,1.11,64,11.11,80,0,2.8
Shaheen Santana,Shazam,6,1,0,185.42,70.31,190.5,Orthodox,1991-06-04,0.82,42,1.65,40,0,0,0,2.8
Sam Patterson,,10,2,1,190.5,70.31,198.12,Orthodox,1996-04-30,2.56,36,3.98,44,0,0,33,2.8
Rei Tsuruya,,8,0,0,167.64,56.7,172.72,Orthodox,2002-06-22,2.91,63,1.64,42,7.74,57,50,2.8
Yoshiyuki Yoshida,Zenko,18,9,0,180.34,77.11,177.8,Southpaw,1974-05-10,0.85,36,3.67,36,1.41,28,25,2.8
Nadia Kassem,,5,2,0,165.1,56.7,167.64,Southpaw,1995-11-15,3.13,41,4.48,48,0.46,33,40,2.8
Rinya Nakamura,Hybred,8,0,0,170.18,61.23,172.72,Southpaw,1995-03-23,4.23,54,1.78,70,4.23,85,100,2.8
Ron Waterman,H20,16,6,2,187.96,127.01,,Orthodox,1965-11-23,0.84,50,1.37,42,4.19,69,50,2.8
Abel Cullum,The Silent Assassin,20,6,0,170.18,63.05,,Orthodox,1987-04-21,1.82,40,1.23,46,4.01,52,0,2.8
Andre Galvao,,5,2,0,170.18,76.2,,Orthodox,1982-09-29,2.34,52,1.56,58,2.02,27,0,2.8
Dan Lauzon,The Upgrade,17,6,0,177.8,70.31,,Orthodox,1988-03-30,1.34,25,4.09,61,1.63,33,80,2.7
Darrick Minner,,26,14,0,170.18,65.77,175.26,Orthodox,1990-04-28,2.63,65,2.28,35,2.4,72,66,2.7
Edson Berto,Little Tiger,17,12,1,167.64,70.31,,Orthodox,1983-07-05,1.76,36,4.62,47,5.47,40,0,2.7
Khamzat Chimaev,Borz,13,0,0,187.96,83.91,190.5,Orthodox,1994-05-01,5.72,58,3.46,42,3.99,46,100,2.7
Carlton Jones,,1,4,0,185.42,102.06,,Orthodox,,2.32,41,3.58,56,4.02,50,57,2.7
Charles Oliveira,Do Bronxs,34,9,0,177.8,70.31,187.96,Orthodox,1989-10-17,3.54,53,3.19,51,2.32,40,55,2.7
Matt Horwich,Suave,30,25,1,185.42,83.91,,Orthodox,1978-10-02,1.11,62,2.16,38,0.33,9,28,2.7
Charles McCarthy,Chainsaw,10,5,0,177.8,83.91,180.34,Orthodox,1980-08-06,0.18,12,4.03,56,2.67,60,0,2.7
Jeff Bedard,Little Popeye,13,3,0,167.64,65.77,,Orthodox,1970-02-06,0.8,51,0,100,3.43,66,100,2.6
Roybert Echeverria,The Unbroken,7,1,0,165.1,56.7,170.18,Switch,1995-08-21,2.95,53,2.52,57,0,0,71,2.6
Julian Marquez,The Cuban Missile Crisis,9,4,0,187.96,83.91,182.88,Orthodox,1990-05-08,4.86,44,4.99,51,0,0,53,2.6
Allan Goes,,10,5,2,182.88,92.99,,Orthodox,1971-04-20,0.64,52,1.35,41,1.75,40,0,2.6
Joseph Morales,,9,2,0,167.64,56.7,175.26,Switch,1994-08-22,1.58,37,1.72,60,0.53,50,23,2.6
Nick Thompson,The Goat,38,14,1,185.42,77.11,187.96,Orthodox,1981-06-23,1.87,42,1.8,49,1.06,100,35,2.6
Dustin Pague,The Disciple,12,11,0,175.26,61.23,187.96,Orthodox,1987-08-05,1.65,53,2.96,41,1.03,44,55,2.6
Coty Wheeler,Ox,14,5,0,167.64,61.23,170.18,Orthodox,1978-10-11,1.88,22,3.16,59,0.87,37,33,2.6
Lu Kai,The Last Gladiator,8,5,0,175.26,65.77,175.26,Orthodox,1994-03-01,3.76,43,5.51,55,2.62,50,100,2.6
Renato Sobral,Babalu,37,11,0,185.42,92.99,190.5,Orthodox,1975-09-07,2.23,45,1.53,57,2.48,42,65,2.6
Daniel Roberts,Ninja,15,7,0,177.8,77.11,187.96,Southpaw,1980-08-05,0.73,20,2.27,46,2.46,44,40,2.5
Keigo Kunihara,,3,2,0,182.88,106.59,,Orthodox,,0.17,10,1.99,57,4.97,40,100,2.5
Jeimeson Saudino,The Minion,8,5,0,167.64,61.23,,,,0.66,30,0.82,84,2.47,50,0,2.5
Marloes Coenen,,23,8,0,175.26,65.77,170.18,,,2.15,51,1.9,67,0.82,30,41,2.5
Daniel Spohn,Dragon,15,6,0,193.04,92.99,200.66,Southpaw,1984-10-12,2.42,49,1.6,53,0,0,28,2.5
Andre Petroski,,10,3,0,182.88,83.91,185.42,Switch,1991-06-12,3.61,51,3.03,51,4.48,54,71,2.5
Dave Menne,The Warrior,45,17,2,177.8,77.11,,Orthodox,1974-07-29,1.84,44,1.99,42,0.46,50,57,2.5
Kyle Kurtz,,7,5,0,,77.11,,,,1.31,36,2.95,52,1.23,20,0,2.5
Renato Verissimo,Charuto,7,5,0,185.42,77.11,,Orthodox,1973-08-03,0.92,48,1.87,47,1.46,30,50,2.5
Ken Shamrock,The World's Most Dangerous Man,28,17,2,185.42,92.99,182.88,Orthodox,1964-02-11,1.47,46,4.3,39,0.94,60,44,2.5
Lumumba Sayers,,6,5,0,182.88,83.91,,,,2.54,41,2.37,48,7.63,75,0,2.5
Dale Hartt,,6,3,0,177.8,70.31,175.26,Orthodox,1979-04-04,1.14,35,1.55,66,1.22,100,25,2.5
Thomas Petersen,The Train,8,1,0,185.42,119.75,187.96,Southpaw,1995-03-30,3.59,73,2.45,40,7.34,100,100,2.5
Tom Murphy,,8,0,0,187.96,102.97,,Southpaw,1974-11-19,2.5,71,0.17,84,7.51,85,0,2.5
Naoki Inoue,,11,1,0,175.26,56.7,180.34,Orthodox,1997-06-14,3.67,35,3.37,60,0,0,60,2.5
Phil Cardella,,8,5,0,180.34,70.31,,,,2.47,50,2,57,0,0,11,2.5
Clayton Carpenter,,7,0,0,167.64,56.7,167.64,Orthodox,1996-06-09,4.5,51,2.85,60,2.47,50,0,2.5
Ivan Salaverry,,14,9,0,182.88,83.91,,Orthodox,1971-01-11,3.01,47,1.19,76,0.49,18,36,2.5
Keisuke Fujiwara,,17,12,5,167.64,63.05,,Switch,,0.73,44,1.2,47,0,0,23,2.5
Cody McKenzie,,16,10,0,182.88,70.31,182.88,Switch,1987-12-16,1.74,34,2.5,67,2.5,25,14,2.5
Tamdan McCrory,The Barncat,14,5,0,193.04,83.91,193.04,Switch,1986-11-05,2.07,49,1.6,46,2.28,50,33,2.5
Liam McGeary,,12,2,0,198.12,92.99,,,,1.28,48,1.92,50,0.51,100,0,2.5
Jailton Almeida,Malhadinho,20,2,0,190.5,92.99,200.66,Orthodox,1991-06-26,2.78,64,0.52,43,5.14,55,75,2.4
